Arquivo,Verdadeiro,Predito,classico,jazz,rap,rock,samba,Mais_provavel,Prob_max
03 - Overture ((Lone Ranger)).flac,classico,classico,0.2899916436043278,0.1820940802035771,0.1289072774087978,0.15044921833571223,0.24855778044758522,classico,0.2899916436043278
Igor Levit - II. Andante.flac,classico,classico,0.25770091502839293,0.21324239527326067,0.17047249797868214,0.18410428553520755,0.17447990618445677,classico,0.25770091502839293
Fazil Say - I. Allegro.flac,classico,classico,0.34829146130582317,0.1989205468948388,0.14163102861461202,0.15871705844863676,0.15243990473608937,classico,0.34829146130582317
02 - 4. In The Hall Of The Mountain King ((Alton Towers)).flac,classico,jazz,0.19013339792031458,0.23569512439237367,0.22299810581594032,0.2222573945351768,0.1289159773361946,jazz,0.23569512439237367
Nelson Freire - 1. Overture.flac,classico,classico,0.3906324065652702,0.15838985674965078,0.12337536035449785,0.14064686524903217,0.18695551108154895,classico,0.3906324065652702
Miles Davis - John McLaughlin.flac,jazz,jazz,0.15814776271379505,0.2752164766554173,0.20341545587922563,0.2001548832137433,0.1630654215378188,jazz,0.2752164766554173
Duke Ellington - In A Sentimental Mood.flac,jazz,jazz,0.22415530404083772,0.2338936294340935,0.1671222971747906,0.1701575410566658,0.20467122829361234,jazz,0.2338936294340935
Miles Davis - Spanish Key.flac,jazz,rap,0.12164594094128359,0.20180060458606985,0.3141720411648924,0.26200101395162706,0.10038039935612701,rap,0.3141720411648924
Ella Fitzgerald - Cheek To Cheek.flac,jazz,jazz,0.17456211232482646,0.2537523411428364,0.20789488907862935,0.23086576823991478,0.1329248892137929,jazz,0.2537523411428364
Miles Davis - Flamenco Sketches.flac,jazz,jazz,0.17229028196410046,0.255439032632919,0.2370047938868414,0.20872468026018806,0.12654121125595102,jazz,0.255439032632919
13 - I Ain't Mad At Cha.flac,rap,rap,0.09898565767421136,0.18461882983875327,0.34785505934502414,0.2869251814563205,0.08161527168569072,rap,0.34785505934502414
04 - $100 Dollar Bill Y'all.flac,rap,jazz,0.13793058961233604,0.26742322466422164,0.2513893677178742,0.21147327119769943,0.13178354680786875,jazz,0.26742322466422164
12 - High Powered.flac,rap,rap,0.12929592965360842,0.21510766535349746,0.31993184182538326,0.2255888016235389,0.11007576154397174,rap,0.31993184182538326
12 - California Love (Remix).flac,rap,rap,0.1370563197479976,0.21768227222045153,0.2789787999766842,0.24202282123441554,0.12425978682045119,rap,0.2789787999766842
2Pac - Can't C Me.flac,rap,rap,0.12132940154264575,0.217137281711215,0.33258352350898895,0.22337906898364085,0.10557072425350941,rap,0.33258352350898895
09 - November Has Come (featuring DOOM).flac,rock,rap,0.14358178592788098,0.22267268253160352,0.2964185584212368,0.21945228520663113,0.11787468791264753,rap,0.2964185584212368
DIIV - Air Conditioning.flac,rock,rock,0.1477560664609201,0.1733155973827784,0.22410357028034283,0.33925783056687087,0.11556693530908774,rock,0.33925783056687087
DIIV - (Druun).flac,rock,rock,0.15246077895420687,0.1864097233834298,0.23172955696611242,0.30112858142973553,0.12827135926651523,rock,0.30112858142973553
05 - I Want It All.flac,rock,rap,0.14042018295213005,0.18483663386583185,0.28273961143494747,0.27397046850800416,0.11803310323908646,rap,0.28273961143494747
08 - Not The Same Anymore.flac,rock,rock,0.19998529397758003,0.22416840192176507,0.16659745554846503,0.22974008012710792,0.17950876842508195,rock,0.22974008012710792
Arlindo Cruz - A Rosa - Flor Que Não Se Cheira.flac,samba,jazz,0.18193562184359247,0.23696710883828326,0.1942080459605073,0.2049067222312892,0.18198250112632766,jazz,0.23696710883828326
12 - Sem Segredo _ Amor Dos Deuses.flac,samba,samba,0.18718556810922785,0.20538728699436276,0.15160826685862316,0.16170223689234325,0.2941166411454429,samba,0.2941166411454429
06 - Baiana Serrana _ Serei Teu Ioio _ Vem Menina Moça.flac,samba,rock,0.14567936020258554,0.20006907675637642,0.23686208836108572,0.2657302616421356,0.15165921303781682,rock,0.2657302616421356
12 - Velocidade da Luz.flac,samba,jazz,0.20181054709478577,0.2485619529821337,0.1520810895543493,0.1551687920914266,0.2423776182773048,jazz,0.2485619529821337
06 - Novos Tempos.flac,samba,samba,0.1838614242099239,0.249667446275021,0.15881154289482055,0.15631271717615391,0.25134686944408074,samba,0.25134686944408074
